Gene,Title,Provider_institution,Description,PI,Authors,Assay_ID,Data_Format,Data_Repository,Data_Link,Endpoint,Endpoint_detection,Release_Date,Repository,Dataset_ID,Status_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_assay,Status_Milestone_NanoBRET_assay
CSNK1G2,NanoLuc®-fused CSNK1G2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435639,Fold Change,Fluorescence Intensity,,Synapse,syn18435639,Complete,https://www.synapse.org/#!Synapse:syn18435639,https://www.synapse.org/#!Synapse:syn18435639,Complete
DYRK1B,NanoLuc®-fused DYRK1B,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435652,Fold Change,Fluorescence Intensity,,Synapse,syn18435652,Complete,https://www.synapse.org/#!Synapse:syn18435652,https://www.synapse.org/#!Synapse:syn18435652,Complete
MKNK2,NanoLuc®-fused MKNK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435649,Fold Change,Fluorescence Intensity,,Synapse,syn18435649,Complete,https://www.synapse.org/#!Synapse:syn18435649,https://www.synapse.org/#!Synapse:syn18435649,Complete
NEK3,NanoLuc®-fused NEK3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435643,Fold Change,Fluorescence Intensity,,Synapse,syn18435643,Complete,https://www.synapse.org/#!Synapse:syn18435643,https://www.synapse.org/#!Synapse:syn18435643,Complete
NEK9,NanoLuc®-fused NEK9,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435642,Fold Change,Fluorescence Intensity,,Synapse,syn18435642,Complete,https://www.synapse.org/#!Synapse:syn18435642,https://www.synapse.org/#!Synapse:syn18435642,Complete
RIOK2,NanoLuc®-fused RIOK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435647,Fold Change,Fluorescence Intensity,,Synapse,syn18435647,Complete,https://www.synapse.org/#!Synapse:syn18435647,https://www.synapse.org/#!Synapse:syn18435647,Complete
STK33,NanoLuc®-fused STK33,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435638,Fold Change,Fluorescence Intensity,,Synapse,syn18435638,Complete,https://www.synapse.org/#!Synapse:syn18435638,https://www.synapse.org/#!Synapse:syn18435638,Complete
PAK5,NanoLuc®-fused PAK5,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435641,Fold Change,Fluorescence Intensity,,Synapse,syn18435641,Complete,https://www.synapse.org/#!Synapse:syn18435641,https://www.synapse.org/#!Synapse:syn18435641,Complete
PKN3,NanoLuc®-fused PKN3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435648,Fold Change,Fluorescence Intensity,,Synapse,syn18435648,Complete,https://www.synapse.org/#!Synapse:syn18435648,https://www.synapse.org/#!Synapse:syn18435648,Complete
STK17B,NanoLuc®-fused STK17B,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435644,Fold Change,Fluorescence Intensity,,Synapse,syn18435644,Complete,https://www.synapse.org/#!Synapse:syn18435644,https://www.synapse.org/#!Synapse:syn18435644,Complete
CDK19,NanoLuc®-fused CDK19,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689588,Fold Change,Fluorescence Intensity,,Synapse,syn20689588,Complete,https://www.synapse.org/#!Synapse:syn20689588,https://www.synapse.org/#!Synapse:syn20689588,Complete
DCLK3,NanoLuc®-fused DCLK3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689587,Fold Change,Fluorescence Intensity,,Synapse,syn20689587,Complete,https://www.synapse.org/#!Synapse:syn20689587,https://www.synapse.org/#!Synapse:syn20689587,Complete
HIPK1,NanoLuc®-fused HIPK1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689586,Fold Change,Fluorescence Intensity,,Synapse,syn20689586,Complete,https://www.synapse.org/#!Synapse:syn20689586,https://www.synapse.org/#!Synapse:syn20689586,Complete
HIPK3,NanoLuc®-fused HIPK3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689585,Fold Change,Fluorescence Intensity,,Synapse,syn20689585,Complete,https://www.synapse.org/#!Synapse:syn20689585,https://www.synapse.org/#!Synapse:syn20689585,Complete
HIPK4,NanoLuc®-fused HIPK4,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689584,Fold Change,Fluorescence Intensity,,Synapse,syn20689584,Complete,https://www.synapse.org/#!Synapse:syn20689584,https://www.synapse.org/#!Synapse:syn20689584,Complete
MAPK4,NanoLuc®-fused MAPK4,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn20689583,Fold Change,Fluorescence Intensity,,Synapse,syn20689583,Complete,https://www.synapse.org/#!Synapse:syn20689583,https://www.synapse.org/#!Synapse:syn20689583,Complete
